Tweet Id;Text;Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type
2282;Excelente encuentro en Curuguaty con el Gobernador de Canindeyu Cesar, el Tigre, Ramirez. Este 10 de Octubre la Lista 1 gana en todo Canindeyu. https://t.co/e2ZsYruEYB;Santiago Peña;2021-09-23T19:24:38.000Z;Thu Sep 23 19:24:38 +0000 2021;361;30;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
1629;Excelente encuentro organizado por jóvenes donde hablamos sobre el Paraguay del futuro y como lo construimos entre todos! Muchas gracias por la invitación y a seguir generando espacios de debate https://t.co/pYnp6dx2cR;Santiago Peña;2019-03-31T01:02:20.000Z;Sun Mar 31 01:02:20 +0000 2019;680;103;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2367;"Excelente noticia para el Paraguay ???? La calificadora de riego Fitch mejoró su calificación al país, acercándonos al anhelado grado de inversión. Fitch Upgrades Paraguay's LT IDRs to 'BB+'; Outlook Revised to Stable https://t.co/cao5bR9Mj3";Santiago Peña;2018-12-11T16:51:22.000Z;Tue Dec 11 16:51:22 +0000 2018;772;201;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://www.fitchratings.com/site/pr/10055304 ;0;0;None
2858;Excelente noticia para el Paraguay ???? los mercados financieros internacionales reconocen a nuestro país por su fortaleza económica y financiera. https://t.co/KICqyvCTBW;Santiago Peña;2020-01-15T20:27:06.000Z;Wed Jan 15 20:27:06 +0000 2020;559;93;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/BMLopezB/status/1217542539819077634 ;0;0;None
173;"Exitoso conversatorio sobre bienestar social, en San Lorenzo. Con políticas públicas pensadas para que la gente viva mejor vamos a elevar la calidad de vida de todos los paraguayos. ¡Gracias a todos! 
#CambiemosParaguay https://t.co/VkE8dhsBjY";Santiago Peña;2023-02-24T00:47:28.000Z;Fri Feb 24 00:47:28 +0000 2023;122;17;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;photo
2883;Exministro de Hacienda reiteró que no hay condiciones técnicas ni políticas para nueva deuda https://t.co/3vO7gX2YX6;Santiago Peña;2020-07-15T03:18:10.000Z;Wed Jul 15 03:18:10 +0000 2020;429;118;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://www.lanacion.com.py/negocios/2020/07/14/exministro-de-hacienda-reitero-que-no-hay-condiciones-tecnicas-ni-politicas-para-nueva-deuda/#.Xw4WEEe8HSo.twitter ;0;0;None
2425;Expandiremos los horizontes de Paraguay para dar un gran salto hacia el futuro. Conversé con embajadores de la Unión Europea sobre las oportunidades que ofrece nuestro país y mis planes para que los paraguayos estén mejor. https://t.co/7Q2utvPTSo;Santiago Peña;2023-02-28T19:21:04.000Z;Tue Feb 28 19:21:04 +0000 2023;402;59;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
1348;Facultad de Ciencias Jurídicas y Sociales - Campus Guaira https://t.co/n5ncM68LG6;Santiago Peña;2018-10-20T02:26:15.000Z;Sat Oct 20 02:26:15 +0000 2018;431;41;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
3077;Falta poco para que en Villa Hayes y en todo el Paraguay vivamos mejor.??????? https://t.co/IDHXJRBWUx;Santiago Peña;2022-11-23T21:33:29.000Z;Wed Nov 23 21:33:29 +0000 2022;264;41;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;video
2809;Falta poco que para podamos elegir estar mejor. Votá lista 2. ??????? https://t.co/jiRUGy0tMk;Santiago Peña;2022-12-14T21:03:16.000Z;Wed Dec 14 21:03:16 +0000 2022;194;30;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
1099;Falta un día para empezar a estar mejor, mañana salí a votar. ???????? https://t.co/CWdTo7q4EW;Santiago Peña;2022-12-17T15:33:51.000Z;Sat Dec 17 15:33:51 +0000 2022;473;75;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
